Environmental package	Structured comment name	Package item	Definition	Expected value	Value syntax	Example	Requirement	Preferred unit	Occurrence	MIXS ID	github ticket
agriculture	Food_Product_type	Foodon product type	new food product categories and food products themselves		{text}	delicatessen salad; FOODON:03316276	X			MIXS:0001184	
food-animal and animal feed	food_product_type	food product type	"A food product type is a class of food products that is differentiated by its food composition (e.g., single- or multi-ingredient), processing and/or consumption characteristics. This does not include brand name products but it may include generic food dish categories. This field accepts terms under food product type (http://purl.obolibrary.org/obo/FOODON:03400361). For terms related to food product for an animal, consult food product for animal (http://purl.obolibrary.org/obo/FOODON_03309997). If the proper descriptor is not listed please use text to describe the food type. Multiple terms can be separated by one or more pipes."	FOODON:00001002 or FOODON:03309997	{text}|{termLabel} {[termID]}	"shrimp (peeled, deep-frozen) [FOODON:03317171]"	M		m	MIXS:0001184	
food-farm environment	food_product_type	food product type	"A food product type is a class of food products that is differentiated by its food composition (e.g., single- or multi-ingredient), processing and/or consumption characteristics. This does not include brand name products but it may include generic food dish categories. This field accepts terms under food product type (http://purl.obolibrary.org/obo/FOODON:03400361). For terms related to food product for an animal, consult food product for animal (http://purl.obolibrary.org/obo/FOODON_03309997). If the proper descriptor is not listed please use text to describe the food type. Multiple terms can be separated by one or more pipes."	FOODON:00001002 or FOODON:03309997	{text}|{termLabel} {[termID]}	"shrimp (peeled, deep-frozen) [FOODON:03317171]"	M		m	MIXS:0001184	
food-food production facility	food_product_type	food product type	"A food product type is a class of food products that is differentiated by its food composition (e.g., single- or multi-ingredient), processing and/or consumption characteristics. This does not include brand name products but it may include generic food dish categories. This field accepts terms under food product type (http://purl.obolibrary.org/obo/FOODON:03400361). For terms related to food product for an animal, consult food product for animal (http://purl.obolibrary.org/obo/FOODON_03309997). If the proper descriptor is not listed please use text to describe the food type. Multiple terms can be separated by one or more pipes."	FOODON:00001002 or FOODON:03309997	{text}|{termLabel} {[termID]}	"shrimp (peeled, deep-frozen) [FOODON:03317171]"	M		m	MIXS:0001184	
food-human foods	food_product_type	food product type	"A food product type is a class of food products that is differentiated by its food composition (e.g., single- or multi-ingredient), processing and/or consumption characteristics. This does not include brand name products but it may include generic food dish categories. This field accepts terms under food product type (http://purl.obolibrary.org/obo/FOODON:03400361). For terms related to food product for an animal, consult food product for animal (http://purl.obolibrary.org/obo/FOODON_03309997). If the proper descriptor is not listed please use text to describe the food type. Multiple terms can be separated by one or more pipes."	FOODON:00001002 or FOODON:03309997	{text}|{termLabel} {[termID]}	"shrimp (peeled, deep-frozen) [FOODON:03317171]"	M		m	MIXS:0001184	
food-human foods	ferm_chem_add	fermentation chemical additives	Any chemicals that are added to the fermentation process to achieve the desired final product.	chemical ingredient	{float} {unit}	salt	C		m	MIXS:0001185	
food-human foods	ferm_chem_add_perc	fermentation chemical additives percentage	The amount of chemical added to the fermentation process.	value	{float} percentage	1%	C	percentage	m	MIXS:0001186	
food-human foods	ferm_headspace_oxy	fermentation headspace oxygen	The amount of headspace oxygen in a fermentation vessel.	value	{float} percentage	5%	C	percentage	1	MIXS:0001187	
food-human foods	ferm_medium	fermentation medium	"The growth medium used for the fermented food fermentation process, which supplies the required nutrients.  Usually this includes a carbon and nitrogen source, water, micronutrients and chemical additives."	growth medium	{text}	molasses	C		1	MIXS:0001188	
food-human foods	ferm_pH	fermentation pH	The pH of the fermented food fermentation process.	measurement value	{float}	4.5	C		1	MIXS:0001189	
food-human foods	ferm_rel_humidity	fermentation relative humidity	The relative humidity of the fermented food fermentation process.	measurement value	{float} {unit}	95% RH	C	percentage	1	MIXS:0001190	
food-human foods	ferm_temp	fermentation temperature	The temperature of the fermented food fermentation process.	measurement value	{float} {unit}	22 degrees Celsius	C	degree Celsius	1	MIXS:0001191	
food-human foods	ferm_time	fermentation time	The time duration of the fermented food fermentation process.	duration	{duration}	P10D	C	days	1	MIXS:0001192	
food-human foods	ferm_vessel	fermentation vessel	The type of vessel used for containment of the fermentation.	text	{text}	steel drum	C		1	MIXS:0001193	
food-animal and animal feed	bacterial_density	bacteria density	"Number of bacteria in sample, as defined by bacteria density (http://purl.obolibrary.org/obo/GENEPIO_0000043)."	measurement value	{float} {unit}	10 colony forming units per gram dry weight	X	colony forming units per milliliter; colony forming units per gram of dry weight	1	MIXS:0001194	
food-food production facility	bacterial_density	bacteria density	"Number of bacteria in sample, as defined by bacteria density (http://purl.obolibrary.org/obo/GENEPIO_0000043)."	measurement value	{float} {unit}	10 colony forming units per gram dry weight	X	colony forming units per milliliter; colony forming units per gram of dry weight	1	MIXS:0001194	
food-human foods	bacterial_density	bacteria density	"Number of bacteria in sample, as defined by bacteria density (http://purl.obolibrary.org/obo/GENEPIO_0000043)."	measurement value	{float} {unit}	10 colony forming units per gram dry weight	X	colony forming units per milliliter; colony forming units per gram of dry weight	1	MIXS:0001194	
food-animal and animal feed	cons_food_stor_dur	food stored by consumer (storage duration)	"The storage duration of the food commodity by the consumer, prior to onset of illness or sample collection.  Indicate the timepoint written in ISO 8601 format."	duration	{duration}	P5D	X	hours or days	1	MIXS:0001195	
food-human foods	cons_food_stor_dur	food stored by consumer (storage duration)	"The storage duration of the food commodity by the consumer, prior to onset of illness or sample collection.  Indicate the timepoint written in ISO 8601 format."	duration	{duration}	P5D	X	hours or days	1	MIXS:0001195	
food-animal and animal feed	cons_food_stor_temp	food stored by consumer (storage temperature)	"Temperature at which food commodity was stored by the consumer, prior to onset of illness or sample collection."	text or measurement value	{float} {unit}|{text}	4 degree Celsius	X	degree Celsius	1	MIXS:0001196	
food-human foods	cons_food_stor_temp	food stored by consumer (storage temperature)	"Temperature at which food commodity was stored by the consumer, prior to onset of illness or sample collection."	text or measurement value	{float} {unit}|{text}	4 degree Celsius	X	degree Celsius	1	MIXS:0001196	
food-animal and animal feed	cons_purch_date	purchase date	The date a food product was purchased by consumer.	date and time	{timestamp}	11/30/19	X		1	MIXS:0001197	
food-human foods	cons_purch_date	purchase date	The date a food product was purchased by consumer.	date and time	{timestamp}	11/30/19	X		1	MIXS:0001197	
food-animal and animal feed	cons_qty_purchased	quantity purchased	The quantity of food purchased by consumer.	measurement value	{integer} {unit}	5 cans	X		1	MIXS:0001198	
food-human foods	cons_qty_purchased	quantity purchased	The quantity of food purchased by consumer.	measurement value	{integer} {unit}	5 cans	X		1	MIXS:0001198	
food-food production facility	dietary_claim_use	dietary claim or use	"These descriptors are used either for foods intended for special dietary use as defined in 21 CFR 105 or for foods that have special characteristics indicated in the name or labeling. This field accepts terms listed under dietary claim or use (http://purl.obolibrary.org/obo/FOODON_03510023). Multiple terms can be separated by one or more pipes, but please consider limiting this list to the most prominent dietary claim or use."	FOODON:03510023	{text}|{termLabel} {[termID]}	No preservatives [FOODON:03510113]	X		m	MIXS:0001199	
food-human foods	dietary_claim_use	dietary claim or use	"These descriptors are used either for foods intended for special dietary use as defined in 21 CFR 105 or for foods that have special characteristics indicated in the name or labeling. This field accepts terms listed under dietary claim or use (http://purl.obolibrary.org/obo/FOODON_03510023). Multiple terms can be separated by one or more pipes, but please consider limiting this list to the most prominent dietary claim or use."	FOODON:03510023	{text}|{termLabel} {[termID]}	No preservatives [FOODON:03510113]	X		m	MIXS:0001199	
food-animal and animal feed	food_additive	food additive	"A substance or substances added to food to maintain or improve safety and freshness, to improve or maintain nutritional value, or improve taste, texture and appearance.  This field accepts terms listed under food additive (http://purl.obolibrary.org/obo/FOODON_03412972). Multiple terms can be separated by one or more pipes, but please consider limiting this list to the top 5 ingredients listed in order as on the food label.  See also, https://www.fda.gov/food/food-ingredients-packaging/overview-food-ingredients-additives-colors."	FOODON:03412972	{text}|{termLabel} {[termID]}	xanthan gum [FOODON:03413321]	X		m	MIXS:0001200	
